dfi_class,term,estimate,p.value,identified_as
low fat,age,-83.471,0.93,Not significant
low fat,bmi,78.946,0.929,Not significant
low fat,psa,475.61,0.93,Not significant
low fat,mtdna,184.842,0.933,Not significant
medium fat,age,-0.04,0.695,Not significant
medium fat,bmi,0.132,0.537,Not significant
medium fat,psa,1.631,0.004,Significant
medium fat,mtdna,1.508,0.572,Not significant
high fat,age,0.031,0.649,Not significant
high fat,bmi,0.368,0.198,Not significant
high fat,psa,2.033,0.018,Significant
high fat,mtdna,-3.766,0.296,Not significant
